,seats,kms_driven,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
1495,5,5500,2022,22.94,1197,1197,8850,9.35
1496,5,35925,2014,20.36,1197,1197,789,3.14
1497,5,57999,2018,21.79,998,998,6705,4.59
1498,5,23000,2012,18.9,998,998,671,2.9
1499,5,14352,2017,21.4,1197,1197,831,5.87
1500,5,10000,2021,20.37,1995,1995,18774,58.75
1501,7,49999,2014,22.8,1373,1373,809,6.34
1502,5,21194,2018,21.4,1197,1197,831,6.37
1503,5,1800,2013,20.36,1197,1197,789,3.15
1504,5,27019,2020,1197,6805,6805,952,6.7
1506,5,24000,2020,24.3,1248,1248,885,9.95
1507,5,32000,2010,17,1497,1497,1186600,2.4
1508,5,22600,2020,1969,190,190,300,37.75
1509,7,10000,2022,17.2,1969,1969,29589,85
1510,5,34000,2019,16,1368,1368,16077,17.5
1511,5,30000,2021,18.76,1462,1462,10326,11.4
1512,5,22700,2018,18.9,1197,1197,8186,5.45
1513,5,9700,2021,1984,18774,18774,320,35.49
1514,5,13519,2020,21.01,1197,1197,8180,6.94
1515,5,45017,2017,13,1591,1591,1213,8.75
1516,5,78308,2013,22,1197,1197,8180,3.57
1517,5,79852,2017,18.2,1199,1199,887,5.69
1518,7,28000,2019,10.54,2998,2998,33525,99
1519,5,18049,2016,21.1,814,814,552,3.15
1520,5,19500,2022,19.87,999,999,11398,16.21
1521,5,35000,2018,17.01,1968,1968,188,41.99
1522,5,7643,2021,20.89,1197,1197,8180,6.19
1523,5,12000,2015,18.6,1197,1197,8183,5.31
1524,5,22316,2014,18.9,1197,1197,82,4.54
1525,5,40000,2021,1451,141,141,250,16
1526,5,45221,2010,1197,789,789,1117,2.35
1527,5,35000,2021,19.56,1197,1197,8180,8.45
1528,7,7000,2021,10.54,2998,2998,33525,1.15
1529,5,40000,2020,17.41,1956,1956,16768,17
1530,5,38671,2016,17.8,1497,1497,1173,6.25
1531,5,49303,2012,17,1197,1197,805200,2.8
1532,5,65000,2014,17.97,1498,1498,9961,2.95
1533,5,68000,2018,16.9,1395,1395,14751,24.99
1534,5,17536,2019,18.27,998,998,11835,9.7
1535,5,30400,2017,18.7,1199,1199,887,5.35
1536,5,15071,2020,1451,141,141,250,14.28
1537,5,80100,2015,23.65,1248,1248,885,6.25
1538,5,10773,2021,18.45,1497,1497,11318,11.85
1539,5,10957,2020,20.3,1199,1199,8381,7.53
1540,5,19000,2022,20.09,1199,1199,8482,7.45
1541,5,87900,2015,22.32,1582,1582,12632,6.5
1542,5,16100,2021,20.89,1197,1197,8180,6.44
1543,5,48650,2016,23.59,1364,1364,6706,5.25
1544,5,29252,2018,14.8,1591,1591,1213,11.05
1545,5,2300,2022,1197,8180,8180,113,5.9
1546,5,19446,2018,18.2,1199,1199,887,6.5
1547,7,26500,2022,26.11,1462,1462,8663,11.5
1548,5,35000,2020,1493,11345,11345,250,17.41
1550,5,49000,2017,17.5,1199,1199,887,5.85
1551,5,40000,2018,18.78,999,999,75,4.75
1552,5,34756,2018,20.85,1197,1197,8314,6.1
